500  235.578 215.853 
1000 377.748 375.939 
1500 480.425 478.594 
2000 558.25  557.681 
2500 612.862 611.527 
3000 673.161 672.128 
3500 703.172 702.233 
4000 735.145 733.617 
4500 760.966 759.659 
5000 779.708 778.464 
